Fold;Dataset;Model;AUC;F-measure;Precision;Recall;MCC;FNR;TNR;FPR;Anomalies;TP
18;Full dataset;KNN;0.6506538120567376;0.44745762711864406;0.42857142857142855;0.46808510638297873;0.22305318966154478;0.5319148936170213;0.7608695652173914;0.2391304347826087;282;132
19;Full dataset;KNN;0.613216774631089;0.3908368396446938;0.4548422198041349;0.34262295081967215;0.1795108878729293;0.6573770491803279;0.82132667617689;0.17867332382310985;1220;418
20;Full dataset;KNN;0.6603264372651979;0.38261997405966275;0.4184397163120568;0.3524492234169653;0.17714059195984982;0.6475507765830346;0.8148984198645599;0.18510158013544017;837;295
21;Full dataset;KNN;0.5644125005852906;0.3571033720287452;0.53125;0.26894254787676936;0.11407138951293438;0.7310574521232306;0.8257946210268947;0.17420537897310515;1201;323
22;Full dataset;KNN;0.6097301362917497;0.3443113772455089;0.4339622641509434;0.2853598014888337;0.0932585344771817;0.7146401985111662;0.79702300405954;0.2029769959404601;403;115
23;Full dataset;KNN;0.6123399117610552;0.28087167070217917;0.31521739130434784;0.25327510917030566;0.11610648893587636;0.7467248908296944;0.8534883720930233;0.14651162790697675;687;174
24;Full dataset;KNN;0.5651957346424814;0.26136363636363635;0.4380952380952381;0.1862348178137652;0.0950395088262454;0.8137651821862348;0.8838582677165354;0.11614173228346457;247;46
25;Full dataset;KNN;0.704952808148771;0.48927875243664715;0.5164609053497943;0.4648148148148148;0.27543642181112493;0.5351851851851852;0.8023549201009251;0.19764507989907487;540;251
26;Full dataset;KNN;0.6578507536115211;0.4891994917407878;0.546875;0.4425287356321839;0.20324440421088685;0.5574712643678161;0.7517509727626459;0.2482490272373541;1740;770
27;Full dataset;KNN;0.5387722476503023;0.3445650104702075;0.4450090149155876;0.28111410229861256;0.05480790411282787;0.7188858977013876;0.7674769949182805;0.23252300508171955;9658;2715
28;Full dataset;KNN;0.5980014898316386;0.3524170193807084;0.41005702436495595;0.308984375;0.13071527655356066;0.691015625;0.8103017169528255;0.18969828304717454;2560;791
29;Full dataset;KNN;0.6306929834565584;0.33268933539412676;0.4754279403644395;0.25586924219910845;0.1552144783796111;0.7441307578008916;0.8695592475628175;0.13044075243718248;3365;861
30;Full dataset;KNN;0.5936751560992494;0.4098680996580361;0.38486238532110095;0.4383490073145245;0.13469085238515244;0.5616509926854755;0.7010699955416853;0.29893000445831475;1914;839
31;Full dataset;KNN;0.603146424528739;0.4315819050295026;0.5557163531114327;0.35277905374368396;0.1647881016750211;0.647220946256316;0.7949231796927188;0.20507682030728122;2177;768
32;Full dataset;KNN;0.5981343089487282;0.4358407079646017;0.5338753387533876;0.36822429906542054;0.12180729468881575;0.6317757009345795;0.744712430426716;0.25528756957328386;2140;788
1;Full dataset;IF;0.517260345975963;0.2764678687008784;0.4874470166286273;0.1929530201342282;0.010001948733939413;0.8070469798657718;0.814884597268017;0.18511540273198304;7748;1495
2;Full dataset;IF;0.5172010525217099;0.28031848391129827;0.36915077989601386;0.225946748700541;0.003406480906718172;0.7740532512994591;0.7770017766341971;0.22299822336580286;9427;2130
3;Full dataset;IF;0.46347475528191434;0.40392754359234806;0.43667642752562225;0.37574803149606306;-0.05433125119429213;0.624251968503937;0.5708310094813163;0.4291689905186838;3175;1193
4;Full dataset;IF;0.48082360069490293;0.37421469543840485;0.48427006009190526;0.30491876251947475;-0.037376764695476454;0.6950812374805253;0.6601444211507105;0.3398555788492895;4493;1370
5;Full dataset;IF;0.4482089696367725;0.23411266279617135;0.5298295454545454;0.15025176233635448;-0.09640516165851382;0.8497482376636455;0.7732876712328767;0.2267123287671233;4965;746
6;Full dataset;IF;0.4617921144070896;0.18705390105833128;0.2773722627737226;0.14110657259561826;-0.030236595631900894;0.8588934274043817;0.8350687213660974;0.16493127863390253;5386;760
7;Full dataset;IF;0.6066374369121263;0.3257790368271955;0.21603005635566688;0.6621880998080614;0.09752617328672208;0.3378119001919386;0.4631217838765009;0.5368782161234992;521;345
8;Full dataset;IF;0.4408111035391784;0.22450476889214968;0.22869955156950675;0.22046109510086456;-0.16353604293795088;0.7795389048991355;0.6174944403261675;0.3825055596738325;694;153
9;Full dataset;IF;0.46469171794435615;0.478896103896104;0.3791773778920309;0.6497797356828194;0.006724080792458965;0.3502202643171806;0.35685752330226367;0.6431424766977364;454;295
10;Full dataset;IF;0.43726127168487494;0.30481727574750833;0.20746184284906724;0.5743348982785602;-0.07947604765158367;0.42566510172143973;0.3355450236966825;0.6644549763033176;639;367
11;Full dataset;IF;0.46910934195535586;0.2782608695652174;0.2393287121488508;0.3323201621073962;-0.05371480281250839;0.6676798378926039;0.609111361079865;0.390888638920135;1974;656
12;Full dataset;IF;0.41555003772730825;0.2945009121709669;0.2677725118483412;0.32715691951360737;-0.11987848092537043;0.6728430804863926;0.547981275599766;0.45201872440023405;1727;565
13;Full dataset;IF;0.44737588652482274;0.25429553264604815;0.15040650406504066;0.8222222222222222;-0.07549377607664383;0.17777777777777778;0.11063829787234042;0.8893617021276596;45;37
14;Full dataset;IF;0.4047754041190534;0.38083148206918443;0.34985422740524785;0.4178272980501393;-0.16587508893124242;0.5821727019498607;0.4146981627296588;0.5853018372703412;1436;600
15;Full dataset;IF;0.3873239436619718;0.2023217247097844;0.12474437627811862;0.5350877192982456;-0.10119115455922481;0.4649122807017544;0.33020344287949915;0.6697965571205008;114;61
16;Full dataset;IF;0.4924425722204274;0.21513353115727005;0.18661518661518664;0.2539404553415061;-0.04776148261443751;0.7460595446584939;0.6932038834951456;0.3067961165048544;571;145
17;Full dataset;IF;0.6132537996404641;0.5843881856540084;0.42097264437689963;0.9551724137931035;0.09711499051784576;0.04482758620689655;0.0971563981042654;0.9028436018957346;290;277
18;Full dataset;IF;0.5643838652482269;0.4056482670089859;0.317907444668008;0.5602836879432624;0.08924830429319501;0.4397163120567376;0.5394021739130435;0.46059782608695654;282;158
19;Full dataset;IF;0.4683170704614017;0.29864253393665163;0.276536312849162;0.32459016393442625;-0.043087599010933876;0.6754098360655738;0.630527817403709;0.36947218259629094;1220;396
20;Full dataset;IF;0.5087097583274675;0.2709251101321586;0.2512768130745659;0.2939068100358423;-0.03538178471718141;0.7060931899641577;0.6690744920993228;0.3309255079006772;837;246
21;Full dataset;IF;0.5892196600632318;0.546267629858961;0.46541617819460723;0.6611157368859284;0.10460377522524426;0.3388842631140716;0.4425427872860636;0.5574572127139364;1201;794
22;Full dataset;IF;0.50893669602474;0.4042328042328042;0.35239852398523985;0.4739454094292804;-0.0009768403102406648;0.5260545905707196;0.5250338294993234;0.4749661705006766;403;191
